,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,my_party
0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,2,1,0,0,119,83.16666666666667,60,0,0,0,0,"['Salamence', 'Weezing', 'Sinistcha-Masterpiece', 'Stonjourner', 'Roaring Moon', 'Glalie']"
1,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,1,135,79.66666666666667,20,0,0,0,0,"['Lilligant-Hisui', 'Torkoal', 'Heatran', 'Iron Hands', 'Flutter Mane', 'Landorus-Therian']"
2,1,0,0,1,1,2,1,0,1,0,0,1,1,0,0,1,1,1,1,0,110,83.33333333333333,50,0,0,0,0,"['Iron Hands', 'Sinistcha', 'Articuno-Galar', 'Heatran', 'Hydreigon', 'Ogerpon-Wellspring']"
3,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,1,1,1,1,116,92.0,60,0,0,0,0,"['Landorus-Therian', 'Moltres-Galar', 'Rillaboom', 'Iron Valiant', 'Ogerpon-Wellspring', 'Goodra-Hisui']"
4,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,0,0,2,1,200,102.83333333333333,30,0,0,0,0,"['Gholdengo', 'Regieleki', 'Flutter Mane', 'Heatran', 'Landorus-Therian', 'Amoonguss']"
5,0,0,1,2,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,85,62.833333333333336,20,0,0,0,1,"['Indeedee-F', 'Armarouge', 'Gallade', 'Torkoal', 'Dondozo', 'Tatsugiri']"
6,0,0,0,1,1,1,1,0,1,1,0,1,0,2,0,0,1,1,1,0,97,66.33333333333333,30,0,0,0,0,"['Regidrago', 'Amoonguss', 'Moltres', 'Urshifu', 'Charjabug', 'Scizor']"
7,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,"['Amoonguss', 'Ursaluna', 'Iron Bundle', 'Regidrago', 'Cresselia', 'Iron Hands']"
8,1,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,1,1,0,1,111,71.33333333333333,35,0,0,0,0,"['Dondozo', 'Flamigo', 'Tatsugiri', 'Gothitelle', 'Ting-Lu', 'Scream Tail']"
9,1,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,"['Azumarill', 'Decidueye-Hisui', 'Chi-Yu', 'Landorus', 'Sableye', 'Sinistcha-Masterpiece']"
10,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,2,1,0,119,90.33333333333333,45,0,0,0,0,"['Ting-Lu', 'Okidogi', 'Roaring Moon', 'Heatran', 'Ogerpon-Wellspring', 'Thundurus']"
11,0,0,0,1,2,2,0,0,1,0,0,1,0,0,1,1,0,1,1,0,111,96.16666666666667,84,0,1,0,0,"['Arcanine-Hisui', 'Urshifu', 'Rillaboom', 'Gholdengo', 'Ogerpon-Wellspring', 'Tornadus']"
12,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,135,87.16666666666667,35,0,0,1,0,"['Dondozo', 'Glimmora', 'Tatsugiri', 'Chi-Yu', 'Flutter Mane', 'Rillaboom']"
13,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,"['Amoonguss', 'Ursaluna', 'Iron Bundle', 'Regidrago', 'Cresselia', 'Iron Hands']"
14,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,"['Amoonguss', 'Ursaluna', 'Iron Bundle', 'Regidrago', 'Cresselia', 'Iron Hands']"
15,0,0,1,1,2,1,0,2,1,0,0,0,1,0,0,0,0,2,0,1,136,97.83333333333333,60,0,0,0,0,"['Ninetales-Alola', 'Iron Bundle', 'Rillaboom', 'Urshifu', 'Farigiraf', 'Chi-Yu']"
16,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,2,1,1,135,79.66666666666667,50,0,0,0,0,"['Iron Hands', 'Kingambit', 'Flutter Mane', 'Chien-Pao', 'Trevenant', 'Ursaluna-Bloodmoon']"
17,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,2,135,104.0,85,0,0,0,0,"['Rotom-Wash', 'Arcanine-Hisui', 'Ninetales-Alola', 'Rillaboom', 'Flutter Mane', 'Roaring Moon']"
18,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,135,86.33333333333333,50,0,0,0,0,"['Salamence', 'Kingambit', 'Politoed', 'Basculegion', 'Rillaboom', 'Flutter Mane']"
19,1,1,1,1,1,1,0,0,1,0,2,1,0,0,0,2,0,3,0,0,101,78.33333333333333,50,0,0,0,0,"['Chi-Yu', 'Landorus', 'Sableye', 'Sinistcha-Masterpiece', 'Urshifu', 'Ursaluna-Bloodmoon']"
20,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,"['Azumarill', 'Decidueye-Hisui', 'Chi-Yu', 'Landorus', 'Sableye', 'Sinistcha-Masterpiece']"
21,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,109,91.5,77,0,0,0,0,"['Mienshao', 'Ninetales-Alola', 'Baxcalibur', 'Milotic', 'Moltres-Galar', 'Heatran']"
22,1,1,0,1,0,0,1,1,1,0,0,1,2,1,0,1,0,1,1,0,135,85.0,50,0,0,0,0,"['Scizor', 'Iron Hands', 'Chandelure', 'Chien-Pao', 'Cresselia', 'Articuno-Galar']"
23,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,1,0,0,0,"['Dragonite', 'Chien-Pao', 'Rillaboom', 'Heatran', 'Urshifu', 'Farigiraf']"
24,1,0,0,2,0,1,1,0,1,1,0,0,0,0,1,2,0,1,0,2,135,90.66666666666667,50,0,0,1,0,"['Flutter Mane', 'Sinistcha-Masterpiece', 'Arcanine-Hisui', 'Fezandipiti', 'Chi-Yu', 'Iron Hands']"
25,1,1,0,1,2,0,0,0,1,0,0,0,2,0,0,1,0,1,1,2,111,87.0,65,0,0,0,0,"['Gothitelle', 'Politoed', 'Urshifu', 'Scream Tail', 'Tinkaton', 'Ceruledge']"
26,1,0,0,1,1,0,1,1,2,0,0,1,0,0,1,1,0,2,0,1,135,103.0,50,0,1,0,0,"['Urshifu', 'Iron Hands', 'Tornadus', 'Arcanine-Hisui', 'Flutter Mane', 'Chien-Pao']"
27,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,136,99.5,50,0,0,1,0,"['Chi-Yu', 'Iron Bundle', 'Rillaboom', 'Landorus-Therian', 'Iron Hands', 'Flutter Mane']"
28,0,0,1,0,2,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,142,90.5,65,0,0,0,0,"['Milotic', 'Flamigo', 'Medicham', 'Dragapult', 'Golduck', 'Komala']"
29,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,2,1,0,135,82.66666666666667,50,0,0,0,0,"['Volcarona', 'Kingambit', 'Iron Hands', 'Sinistcha-Masterpiece', 'Landorus-Therian', 'Chien-Pao']"
30,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,135,85.0,30,0,0,0,0,"['Flutter Mane', 'Iron Hands', 'Pachirisu', 'Milotic', 'Amoonguss', 'Roaring Moon']"
31,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,135,85.0,30,0,0,0,0,"['Flutter Mane', 'Iron Hands', 'Pachirisu', 'Milotic', 'Amoonguss', 'Roaring Moon']"
